,occur_id,status,hours_program_total,pop_served_list,impact_area,impact_outcome,opportunity_name,schedule_type,reg_type,location,start_date_time,end_date_time,opportunity_coordinator,opportunity_coordinator_email,vol_leader_need,max_attend,min_attend,vol_confirmed,vol_in_need,num_attend,num_not_attend,hours_occur_total,opportunity_record_id
10,OC-028634,Active,68.25,['Environmental education'],Environmental Conservation ,,Serve-A-Thon: Help with sorting donated goods at Crossroads (Youth Welcome),Date & Time Specific,Sign Up,Crossroads Foundation,"22/9/2020, 1:45 pm","22/9/2020, 5:00 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,8.0,1.0,5.0,3.0,4.0,1.0,13.0,a0N0I00001AGdvE
11,OC-028635,Active,68.25,['Environmental education'],Environmental Conservation ,,Serve-A-Thon: Help with sorting donated goods at Crossroads (Youth Welcome),Date & Time Specific,Sign Up,Crossroads Foundation,"26/9/2020, 1:45 pm","26/9/2020, 5:00 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,8.0,1.0,6.0,2.0,6.0,0.0,19.5,a0N0I00001AGdvE
12,OC-028633,Active,68.25,['Environmental education'],Environmental Conservation ,,Serve-A-Thon: Help with sorting donated goods at Crossroads (Youth Welcome),Date & Time Specific,Sign Up,Crossroads Foundation,"26/9/2020, 9:45 am","26/9/2020, 1:00 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,8.0,1.0,7.0,1.0,7.0,0.0,22.75,a0N0I00001AGdvE
13,OC-029021,Active,375.75,"['Children and youth', ' Elderly', ' Hunger & homelessness']",Hunger & Homelessness ,,Youth Opportunity: Collect Bread for Redistribution (Fortress Hill),Date & Time Specific,Sign Up,Feeding Hong Kong,"29/10/2020, 8:20 pm","29/10/2020, 10:00 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,a0N0I00001DHJOY
14,OC-029020,Active,375.75,"['Children and youth', ' Elderly', ' Hunger & homelessness']",Hunger & Homelessness ,,Youth Opportunity: Collect Bread for Redistribution (Fortress Hill),Date & Time Specific,Sign Up,Feeding Hong Kong,"22/10/2020, 8:20 pm","22/10/2020, 10:00 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,a0N0I00001DHJOY
15,OC-029012,Active,375.75,"['Children and youth', ' Elderly', ' Hunger & homelessness']",Hunger & Homelessness ,,Youth Opportunity: Collect Bread for Redistribution (Fortress Hill),Date & Time Specific,Sign Up,Feeding Hong Kong,"13/10/2020, 8:20 pm","13/10/2020, 10:00 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,a0N0I00001DHJOY
16,OC-029013,Active,375.75,"['Children and youth', ' Elderly', ' Hunger & homelessness']",Hunger & Homelessness ,,Youth Opportunity: Collect Bread for Redistribution (Fortress Hill),Date & Time Specific,Sign Up,Feeding Hong Kong,"20/10/2020, 8:20 pm","20/10/2020, 10:00 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,a0N0I00001DHJOY
17,OC-029014,Active,375.75,"['Children and youth', ' Elderly', ' Hunger & homelessness']",Hunger & Homelessness ,,Youth Opportunity: Collect Bread for Redistribution (Fortress Hill),Date & Time Specific,Sign Up,Feeding Hong Kong,"27/10/2020, 8:20 pm","27/10/2020, 10:00 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,a0N0I00001DHJOY
18,OC-029019,Active,375.75,"['Children and youth', ' Elderly', ' Hunger & homelessness']",Hunger & Homelessness ,,Youth Opportunity: Collect Bread for Redistribution (Fortress Hill),Date & Time Specific,Sign Up,Feeding Hong Kong,"15/10/2020, 8:20 pm","15/10/2020, 10:00 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,a0N0I00001DHJOY
19,OC-028772,Active,38.0,['Children and youth'],Education and Empowerment for Children and Youth ,,Serve-A-Thon: Help Ethnic Minority Children with homework in Jordan,Date & Time Specific,Sign Up,Christian Action Ethnic Minority Centre,"26/9/2020, 10:00 am","26/9/2020, 12:00 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,4.0,1.0,4.0,0.0,4.0,0.0,8.0,a0N0I00001DHtmk
20,OC-029107,Active,381.0,"['Children and youth', ' People with disabilities']",Education and Empowerment for Children and Youth ,,Help Students with Intellectual Disabilities at Job-related Online Training,Date & Time Specific,Sign Up,"Anita L. L. Chan(Centenary) School, To Kwa Wan","21/10/2020, 10:45 am","21/10/2020, 12:30 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,a0N0I00001DIjoc
21,OC-029108,Active,381.0,"['Children and youth', ' People with disabilities']",Education and Empowerment for Children and Youth ,,Help Students with Intellectual Disabilities at Job-related Online Training,Date & Time Specific,Sign Up,"Anita L. L. Chan(Centenary) School, To Kwa Wan","28/10/2020, 10:45 am","28/10/2020, 12:30 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,a0N0I00001DIjoc
22,OC-028450,Active,285.5,"['Environmental education', ' Women']",Environmental Conservation ,,Serve-A-Thon: Let's Hike and Clean Up HK Trails (Family Welcome),Date & Time Specific,Sign Up,Wilson Trail Sec.3,"27/9/2020, 9:00 am","27/9/2020, 12:00 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,20.0,1.0,14.0,6.0,12.0,2.0,36.0,a0N0I00001FEy8I
23,OC-028423,Active,68.0,['Integrated'],Hunger & Homelessness ,,Serve-A-Thon: Deliver Daily Necessities to Homeless in TKT (Family Welcome),Date & Time Specific,Sign Up,"ImpactHK, Tai Kok Tsui","20/9/2020, 10:30 am","20/9/2020, 12:30 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,3.0,1.0,4.0,-1.0,4.0,0.0,8.0,a0N0I00001FEyO2
24,OC-028424,Active,68.0,['Integrated'],Hunger & Homelessness ,,Serve-A-Thon: Deliver Daily Necessities to Homeless in TKT (Family Welcome),Date & Time Specific,Sign Up,"ImpactHK, Tai Kok Tsui","27/9/2020, 10:30 am","27/9/2020, 12:30 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,3.0,1.0,4.0,-1.0,4.0,0.0,8.0,a0N0I00001FEyO2
25,OC-028698,Active,1328.0,['Hunger & homelessness'],Hunger & Homelessness ,,Family Opportunity: Deliver Daily Necessities to Homeless People in Tai Kok Tsui,Date & Time Specific,Sign Up,"ImpactHK, Tai Kok Tsui","4/10/2020, 10:30 am","4/10/2020, 12:30 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,6.0,1.0,6.0,0.0,6.0,0.0,12.0,a0N0I00001FEySl
26,OC-028699,Active,1328.0,['Hunger & homelessness'],Hunger & Homelessness ,,Family Opportunity: Deliver Daily Necessities to Homeless People in Tai Kok Tsui,Date & Time Specific,Sign Up,"ImpactHK, Tai Kok Tsui","11/10/2020, 10:30 am","11/10/2020, 12:30 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,6.0,1.0,5.0,1.0,0.0,0.0,0.0,a0N0I00001FEySl
27,OC-028700,Active,1328.0,['Hunger & homelessness'],Hunger & Homelessness ,,Family Opportunity: Deliver Daily Necessities to Homeless People in Tai Kok Tsui,Date & Time Specific,Sign Up,"ImpactHK, Tai Kok Tsui","18/10/2020, 10:30 am","18/10/2020, 12:30 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,6.0,1.0,6.0,0.0,0.0,0.0,0.0,a0N0I00001FEySl
28,OC-028701,Active,1328.0,['Hunger & homelessness'],Hunger & Homelessness ,,Family Opportunity: Deliver Daily Necessities to Homeless People in Tai Kok Tsui,Date & Time Specific,Sign Up,"ImpactHK, Tai Kok Tsui","25/10/2020, 10:30 am","25/10/2020, 12:30 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,6.0,1.0,5.0,1.0,0.0,0.0,0.0,a0N0I00001FEySl
29,OC-028481,Active,1328.0,['Hunger & homelessness'],Hunger & Homelessness ,,Family Opportunity: Deliver Daily Necessities to Homeless People in Tai Kok Tsui,Date & Time Specific,Sign Up,"ImpactHK, Tai Kok Tsui","6/9/2020, 10:30 am","6/9/2020, 12:30 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,3.0,1.0,4.0,-1.0,4.0,0.0,8.0,a0N0I00001FEySl
30,OC-028482,Active,1328.0,['Hunger & homelessness'],Hunger & Homelessness ,,Family Opportunity: Deliver Daily Necessities to Homeless People in Tai Kok Tsui,Date & Time Specific,Sign Up,"ImpactHK, Tai Kok Tsui","13/9/2020, 10:30 am","13/9/2020, 12:30 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,3.0,1.0,4.0,-1.0,4.0,0.0,8.0,a0N0I00001FEySl
31,OC-028674,Active,948.0,['Hunger & homelessness'],Hunger & Homelessness ,,Youth Opportunity: Deliver Necessities and Warmth to Homeless in Mong Kok,Date & Time Specific,Sign Up,"ImpactHK, Tai Kok Tsui","28/10/2020, 7:30 pm","28/10/2020, 9:30 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,a0N0I00001FEyWn
32,OC-028671,Active,948.0,['Hunger & homelessness'],Hunger & Homelessness ,,Youth Opportunity: Deliver Necessities and Warmth to Homeless in Mong Kok,Date & Time Specific,Sign Up,"ImpactHK, Tai Kok Tsui","7/10/2020, 7:30 pm","7/10/2020, 9:30 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,5.0,1.0,6.0,-1.0,0.0,0.0,0.0,a0N0I00001FEyWn
33,OC-028672,Canceled,948.0,['Hunger & homelessness'],Hunger & Homelessness ,,Youth Opportunity: Deliver Necessities and Warmth to Homeless in Mong Kok,Date & Time Specific,Sign Up,"ImpactHK, Tai Kok Tsui","14/10/2020, 7:30 pm","14/10/2020, 9:30 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,a0N0I00001FEyWn
34,OC-028673,Active,948.0,['Hunger & homelessness'],Hunger & Homelessness ,,Youth Opportunity: Deliver Necessities and Warmth to Homeless in Mong Kok,Date & Time Specific,Sign Up,"ImpactHK, Tai Kok Tsui","21/10/2020, 7:30 pm","21/10/2020, 9:30 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,a0N0I00001FEyWn
35,OC-028485,Active,948.0,['Hunger & homelessness'],Hunger & Homelessness ,,Youth Opportunity: Deliver Necessities and Warmth to Homeless in Mong Kok,Date & Time Specific,Sign Up,"ImpactHK, TST","2/9/2020, 7:30 pm","2/9/2020, 9:30 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,3.0,1.0,3.0,0.0,3.0,0.0,6.0,a0N0I00001FEyWn
36,OC-028486,Active,948.0,['Hunger & homelessness'],Hunger & Homelessness ,,Youth Opportunity: Deliver Necessities and Warmth to Homeless in Mong Kok,Date & Time Specific,Sign Up,"ImpactHK, Tai Kok Tsui","9/9/2020, 7:30 pm","9/9/2020, 9:30 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,3.0,1.0,5.0,-2.0,5.0,0.0,10.0,a0N0I00001FEyWn
37,OC-028487,Active,948.0,['Hunger & homelessness'],Hunger & Homelessness ,,Youth Opportunity: Deliver Necessities and Warmth to Homeless in Mong Kok,Date & Time Specific,Sign Up,"ImpactHK, Tai Kok Tsui","16/9/2020, 7:30 pm","16/9/2020, 9:30 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,3.0,1.0,4.0,-1.0,4.0,0.0,8.0,a0N0I00001FEyWn
38,OC-028489,Active,948.0,['Hunger & homelessness'],Hunger & Homelessness ,,Youth Opportunity: Deliver Necessities and Warmth to Homeless in Mong Kok,Date & Time Specific,Sign Up,"ImpactHK, Tai Kok Tsui","30/9/2020, 7:30 pm","30/9/2020, 9:30 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,5.0,1.0,6.0,-1.0,6.0,0.0,12.0,a0N0I00001FEyWn
39,OC-028681,Active,1417.0,['Hunger & homelessness'],Hunger & Homelessness ,,Youth Opportunity: Deliver Daily Necessities and Warmth to Homeless in CWB,Date & Time Specific,Sign Up,"ImpactHK, Morrison Hill","15/10/2020, 8:00 pm","15/10/2020, 9:30 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,a0N0I00001FEyiy
40,OC-028682,Active,1417.0,['Hunger & homelessness'],Hunger & Homelessness ,,Youth Opportunity: Deliver Daily Necessities and Warmth to Homeless in CWB,Date & Time Specific,Sign Up,"ImpactHK, Morrison Hill","22/10/2020, 8:00 pm","22/10/2020, 9:30 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,a0N0I00001FEyiy
41,OC-028683,Active,1417.0,['Hunger & homelessness'],Hunger & Homelessness ,,Youth Opportunity: Deliver Daily Necessities and Warmth to Homeless in CWB,Date & Time Specific,Sign Up,"ImpactHK, Morrison Hill","29/10/2020, 8:00 pm","29/10/2020, 9:30 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,a0N0I00001FEyiy
42,OC-028680,Active,1417.0,['Hunger & homelessness'],Hunger & Homelessness ,,Youth Opportunity: Deliver Daily Necessities and Warmth to Homeless in CWB,Date & Time Specific,Sign Up,"ImpactHK, Morrison Hill","8/10/2020, 8:00 pm","8/10/2020, 9:30 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,a0N0I00001FEyiy
43,OC-028495,Active,1417.0,['Hunger & homelessness'],Hunger & Homelessness ,,Youth Opportunity: Deliver Daily Necessities and Warmth to Homeless in CWB,Date & Time Specific,Sign Up,"ImpactHK, Morrison Hill","3/9/2020, 8:00 pm","3/9/2020, 9:30 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,3.0,1.0,3.0,0.0,3.0,0.0,4.5,a0N0I00001FEyiy
44,OC-028496,Active,1417.0,['Hunger & homelessness'],Hunger & Homelessness ,,Youth Opportunity: Deliver Daily Necessities and Warmth to Homeless in CWB,Date & Time Specific,Sign Up,"ImpactHK, Morrison Hill","10/9/2020, 8:00 pm","10/9/2020, 9:30 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,3.0,1.0,3.0,0.0,3.0,0.0,4.5,a0N0I00001FEyiy
45,OC-028497,Active,1417.0,['Hunger & homelessness'],Hunger & Homelessness ,,Youth Opportunity: Deliver Daily Necessities and Warmth to Homeless in CWB,Date & Time Specific,Sign Up,"ImpactHK, Morrison Hill","17/9/2020, 8:00 pm","17/9/2020, 9:30 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,3.0,1.0,3.0,0.0,3.0,0.0,4.5,a0N0I00001FEyiy
46,OC-028662,Active,1364.0,['Hunger & homelessness'],Hunger & Homelessness ,,Youth Opportunity: Deliver Necessities and Warmth to Homeless in Fortress Hill,Date & Time Specific,Sign Up,"ImpactHK, Fortress Hill","7/10/2020, 7:00 pm","7/10/2020, 8:00 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,7.0,1.0,8.0,-1.0,0.0,0.0,0.0,a0N0I00001FEyrl
47,OC-028663,Active,1364.0,['Hunger & homelessness'],Hunger & Homelessness ,,Youth Opportunity: Deliver Necessities and Warmth to Homeless in Fortress Hill,Date & Time Specific,Sign Up,"ImpactHK, Fortress Hill","14/10/2020, 7:00 pm","14/10/2020, 8:00 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,7.0,1.0,7.0,0.0,0.0,0.0,0.0,a0N0I00001FEyrl
48,OC-028664,Active,1364.0,['Hunger & homelessness'],Hunger & Homelessness ,,Youth Opportunity: Deliver Necessities and Warmth to Homeless in Fortress Hill,Date & Time Specific,Sign Up,"ImpactHK, Fortress Hill","21/10/2020, 7:00 pm","21/10/2020, 8:00 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,7.0,1.0,7.0,0.0,0.0,0.0,0.0,a0N0I00001FEyrl
49,OC-028665,Active,1364.0,['Hunger & homelessness'],Hunger & Homelessness ,,Youth Opportunity: Deliver Necessities and Warmth to Homeless in Fortress Hill,Date & Time Specific,Sign Up,"ImpactHK, Fortress Hill","28/10/2020, 7:00 pm","28/10/2020, 8:00 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,7.0,1.0,7.0,0.0,0.0,0.0,0.0,a0N0I00001FEyrl
50,OC-028667,Active,1364.0,['Hunger & homelessness'],Hunger & Homelessness ,,Youth Opportunity: Deliver Necessities and Warmth to Homeless in Fortress Hill,Date & Time Specific,Sign Up,"ImpactHK, Fortress Hill","9/10/2020, 8:00 pm","9/10/2020, 10:00 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,7.0,1.0,9.0,-2.0,0.0,0.0,0.0,a0N0I00001FEyrl
51,OC-028668,Active,1364.0,['Hunger & homelessness'],Hunger & Homelessness ,,Youth Opportunity: Deliver Necessities and Warmth to Homeless in Fortress Hill,Date & Time Specific,Sign Up,"ImpactHK, Fortress Hill","16/10/2020, 8:00 pm","16/10/2020, 10:00 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,7.0,1.0,7.0,0.0,0.0,0.0,0.0,a0N0I00001FEyrl
52,OC-028669,Active,1364.0,['Hunger & homelessness'],Hunger & Homelessness ,,Youth Opportunity: Deliver Necessities and Warmth to Homeless in Fortress Hill,Date & Time Specific,Sign Up,"ImpactHK, Fortress Hill","23/10/2020, 8:00 pm","23/10/2020, 10:00 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,7.0,1.0,7.0,0.0,0.0,0.0,0.0,a0N0I00001FEyrl
53,OC-028670,Active,1364.0,['Hunger & homelessness'],Hunger & Homelessness ,,Youth Opportunity: Deliver Necessities and Warmth to Homeless in Fortress Hill,Date & Time Specific,Sign Up,"ImpactHK, Fortress Hill","30/10/2020, 8:00 pm","30/10/2020, 10:00 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,7.0,1.0,7.0,0.0,0.0,0.0,0.0,a0N0I00001FEyrl
54,OC-028504,Active,1364.0,['Hunger & homelessness'],Hunger & Homelessness ,,Youth Opportunity: Deliver Necessities and Warmth to Homeless in Fortress Hill,Date & Time Specific,Sign Up,"ImpactHK, Fortress Hill","4/9/2020, 8:00 pm","4/9/2020, 10:00 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,3.0,1.0,6.0,-3.0,6.0,0.0,12.0,a0N0I00001FEyrl
55,OC-028505,Active,1364.0,['Hunger & homelessness'],Hunger & Homelessness ,,Youth Opportunity: Deliver Necessities and Warmth to Homeless in Fortress Hill,Date & Time Specific,Sign Up,"ImpactHK, Fortress Hill","11/9/2020, 8:00 pm","11/9/2020, 10:00 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,3.0,1.0,5.0,-2.0,5.0,0.0,10.0,a0N0I00001FEyrl
56,OC-028506,Active,1364.0,['Hunger & homelessness'],Hunger & Homelessness ,,Youth Opportunity: Deliver Necessities and Warmth to Homeless in Fortress Hill,Date & Time Specific,Sign Up,"ImpactHK, Fortress Hill","18/9/2020, 8:00 pm","18/9/2020, 10:00 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,3.0,1.0,6.0,-3.0,6.0,0.0,12.0,a0N0I00001FEyrl
57,OC-028499,Active,1364.0,['Hunger & homelessness'],Hunger & Homelessness ,,Youth Opportunity: Deliver Necessities and Warmth to Homeless in Fortress Hill,Date & Time Specific,Sign Up,"ImpactHK, Fortress Hill","2/9/2020, 7:00 pm","2/9/2020, 8:00 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,3.0,1.0,4.0,-1.0,4.0,0.0,4.0,a0N0I00001FEyrl
58,OC-028500,Active,1364.0,['Hunger & homelessness'],Hunger & Homelessness ,,Youth Opportunity: Deliver Necessities and Warmth to Homeless in Fortress Hill,Date & Time Specific,Sign Up,"ImpactHK, Fortress Hill","9/9/2020, 7:00 pm","9/9/2020, 8:00 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,3.0,1.0,3.0,0.0,3.0,0.0,3.0,a0N0I00001FEyrl
59,OC-028501,Active,1364.0,['Hunger & homelessness'],Hunger & Homelessness ,,Youth Opportunity: Deliver Necessities and Warmth to Homeless in Fortress Hill,Date & Time Specific,Sign Up,"ImpactHK, Fortress Hill","16/9/2020, 7:00 pm","16/9/2020, 8:00 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,3.0,1.0,3.0,0.0,3.0,0.0,3.0,a0N0I00001FEyrl
60,OC-028503,Active,1364.0,['Hunger & homelessness'],Hunger & Homelessness ,,Youth Opportunity: Deliver Necessities and Warmth to Homeless in Fortress Hill,Date & Time Specific,Sign Up,"ImpactHK, Fortress Hill","30/9/2020, 7:00 pm","30/9/2020, 8:00 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,7.0,1.0,7.0,0.0,7.0,0.0,7.0,a0N0I00001FEyrl
61,OC-028693,Active,1361.0,['Hunger & homelessness'],Hunger & Homelessness ,,Family Opportunity: Deliver Daily Necessities and Warmth to Homeless in YMT,Date & Time Specific,Sign Up,"ImpactHK, Jordan","3/10/2020, 4:00 pm","3/10/2020, 5:30 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,7.0,1.0,6.0,1.0,6.0,0.0,9.0,a0N0I00001FGyCi
62,OC-028694,Active,1361.0,['Hunger & homelessness'],Hunger & Homelessness ,,Family Opportunity: Deliver Daily Necessities and Warmth to Homeless in YMT,Date & Time Specific,Sign Up,"ImpactHK, Jordan","10/10/2020, 4:00 pm","10/10/2020, 5:30 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,7.0,1.0,7.0,0.0,0.0,0.0,0.0,a0N0I00001FGyCi
63,OC-028695,Active,1361.0,['Hunger & homelessness'],Hunger & Homelessness ,,Family Opportunity: Deliver Daily Necessities and Warmth to Homeless in YMT,Date & Time Specific,Sign Up,"ImpactHK, Jordan","17/10/2020, 4:00 pm","17/10/2020, 5:30 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,7.0,1.0,6.0,1.0,0.0,0.0,0.0,a0N0I00001FGyCi
64,OC-028696,Active,1361.0,['Hunger & homelessness'],Hunger & Homelessness ,,Family Opportunity: Deliver Daily Necessities and Warmth to Homeless in YMT,Date & Time Specific,Sign Up,"ImpactHK, Jordan","24/10/2020, 4:00 pm","24/10/2020, 5:30 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,7.0,1.0,5.0,2.0,0.0,0.0,0.0,a0N0I00001FGyCi
65,OC-028508,Active,1361.0,['Hunger & homelessness'],Hunger & Homelessness ,,Family Opportunity: Deliver Daily Necessities and Warmth to Homeless in YMT,Date & Time Specific,Sign Up,"ImpactHK, Jordan","5/9/2020, 4:00 pm","5/9/2020, 5:30 pm",HandsOn Hong Kong,hohk@handsonhongkong.org,0.0,3.0,1.0,5.0,-2.0,5.0,0.0,7.5,a0N0I00001FGyCi
